"Condition" "Strain" "Nuclear" "Mito" "Replicate" "Batch" "WORMLENGTH" "Status"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1198.01754744911 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1231.80151075757 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1216.1340736835 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1135.43411148303 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1226.56490666122 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1224.95405940738 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1213.45278576601 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1163.03065935572 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "D07" 2012021 1115.91315565148 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "D07" 2012021 1187.24030434261 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "D07" 2012021 1160.65592542915 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "D07" 2012021 1195.81076954022 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "D07" 2012021 1059.97301987514 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "D07" 2012021 1203.45240519299 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "D07" 2012021 1186.61150783369 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1160.66738083278 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1187.99031017572 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1191.80134207766 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1209.86821333999 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1082.02993656259 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1113.65943772628 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1146.41602208233 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1232.27554559216 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1153.17308518416 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1228.128999553 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1231.11660437084 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "E07" 2012021 1220.13126051064 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "F07" 2012021 1191.46442581967 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "F07" 2012021 1201.33618579424 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "F07" 2012021 1168.56078044326 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "F07" 2012021 1211.34021856783 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "F07" 2012021 1062.37057676863 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "F07" 2012021 1217.79638272194 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "F07" 2012021 1201.57026184618 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1217.0474303979 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1225.8048743064 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1173.71336532849 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1094.16833891339 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1150.40771924876 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1230.90536765106 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1153.36700013484 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1193.01685041963 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1227.0289149741 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1209.473492883 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "G07" 2012021 1219.66483032336 "Mismatched"
